nom_commune,cog_commune,siren_commune,nom_prenom_maire,nuance_politique,famille_nuance
Saint-Rieul,22326,212203269,DREZET Catherine,NC,Non classé
Saint-Samson-Sur-Rance,22327,212203277,LORRE Loïc,LNC,Non classé
Saint-Servais,22328,212203285,BILLAUX Béatrice,NC,Non classé
Saint-Thélo,22330,212203301,DUEDAL Anne-Laure,NC,Non classé
Sainte-Tréphine,22331,212203319,GALARDON Georges,NC,Non classé
Saint-Trimoël,22332,212203327,VALO Annie,NC,Non classé
Saint-Vran,22333,212203335,GASPAILLARD Evelyne,NC,Non classé
Saint-Igeaux,22334,212203343,BERNARD Claude,NC,Non classé
Senven-Léhart,22335,212203350,BURLOT Gilbert,NC,Non classé
Sévignac,22337,212203376,BERHAULT Yvon,LNC,Non classé
Squiffiec,22338,212203384,LE MOIGNE Yvon,NC,Non classé
Taden,22339,212203392,THOREUX Evelyne,LNC,Non classé
Tonquédec,22340,212203400,PHILIPPE Joel,,
Tramain,22341,212203418,DESPRES Benoit,NC,Non classé
Trébédan,22342,212203426,IBAGNE Didier,NC,Non classé
Trébeurden,22343,212203434,BOIRON Bénédicte,LDVD,Droite
Trébrivan,22344,212203442,EVEN Fabrice,NC,Non classé
Trébry,22345,212203459,COMMAULT Daniel,NC,Non classé
Trédaniel,22346,212203467,ROBIN Christophe,NC,Non classé
Trédarzec,22347,212203475,LE SEGUILLON Yvon,LNC,Non classé
Trédias,22348,212203483,LE BERRE Renaud,NC,Non classé
Trédrez-Locquémeau,22349,212203491,LE JEUNE Joël,LNC,Non classé
Tréduder,22350,212203509,LE GUEZIEC Patricia,NC,Non classé
Treffrin,22351,212203517,LE FER Etienne,NC,Non classé
Tréfumel,22352,212203525,HEDE Françoise,NC,Non classé
Trégastel,22353,212203533,MARTIN Xavier,LNC,Non classé
Tréglamus,22354,212203541,PARISCOAT Dominique,LNC,Non classé
Trégomeur,22356,212203566,MANAC'H Denis,NC,Non classé
Trégonneau,22358,212203582,CARADEC-BOCHER Stéphanie,NC,Non classé
Trégrom,22359,212203590,LE BRAS Jean François,NC,Non classé
Trégueux,22360,212203608,MÉTOIS-LE BRAS Christine,,
Tréguidel,22361,212203616,GUILLAUME André,NC,Non classé
Tréguier,22362,212203624,ARHANT Guirec,LNC,Non classé
Trélévern,22363,212203632,QUÉGUINER Yannick,LNC,Non classé
Trélivan,22364,212203640,LEBRETON Suzanne,LNC,Non classé
Trémargat,22365,212203657,SALLIOU François,NC,Non classé
Trémel,22366,212203665,AURIAC Cécile,NC,Non classé
Tréméreuc,22368,212203681,FONTAINE Bruno,NC,Non classé
Trémeur,22369,212203699,CORBEL Guy,NC,Non classé
Tréméven,22370,212203707,LIENNEL Yves,NC,Non classé
Trémorel,22371,212203715,ROUVRAIS Michel,LNC,Non classé
Trémuson,22372,212203723,ORGEBIN Yvon,,
Tréogan,22373,212203731,LE GOFF Bruno,NC,Non classé
Tressignaux,22375,212203756,GUEGAN Jean-Luc,NC,Non classé
Tréveneuc,22377,212203772,SERANDOUR Marcel,NC,Non classé
Trévérec,22378,212203780,GEFFROY Sandrine,NC,Non classé
Trévou-Tréguignec,22379,212203798,ADAM Pierre,LNC,Non classé
Trévron,22380,212203806,METAYE-BRUNET Cécile,NC,Non classé
Trézény,22381,212203814,PEUROU Yves,NC,Non classé
Troguéry,22383,212203830,HENRY Serge,NC,Non classé
Uzel,22384,212203848,CHOUPAUX Guénaël,LNC,Non classé
La Vicomté-Sur-Rance,22385,212203855,BROMBIN Alain,LNC,Non classé
Le Vieux-Bourg,22386,212203863,RANNO Christian,NC,Non classé
Le Vieux-Marché,22387,212203871,GARZUEL Alain,LNC,Non classé
Vildé-Guingalan,22388,212203889,JUHEL Jean-Yves,LNC,Non classé
Yffiniac,22389,212203897,HAMAYON Denis,LDVG,Gauche
Yvias,22390,212203905,LE GRAET Karine,NC,Non classé
Yvignac-La-Tour,22391,212203913,BOISSEL Jean-Luc,LNC,Non classé
Ahun,23001,212300107,COTICHE Thierry,LNC,Non classé
Ajain,23002,212300206,ROUCHON Guy,LNC,Non classé
Alleyrat,23003,212300305,BRUNET Guy,NC,Non classé
Anzême,23004,212300404,DUPEUX Viviane,NC,Non classé
Arfeuille-Châtain,23005,212300503,DESCLOUX Béatrice,NC,Non classé
Arrènes,23006,212300602,PLUVIAUD Michael,NC,Non classé
Ars,23007,212300701,SARTY Denis,NC,Non classé
Aubusson,23008,212300800,DUCOURTIOUX Stéphane,,
Auge,23009,212300909,MAUME Patrick,NC,Non classé
Augères,23010,212301006,GASNET Michel,NC,Non classé
Aulon,23011,212301105,HALARY MOREAU Josette,NC,Non classé
Auriat,23012,212301204,SIMON-CHAUTEMPS Franck,NC,Non classé
Auzances,23013,212301303,SIMON Françoise,LNC,Non classé
Azat-Châtenet,23014,212301402,QUINQUE Jean-Bernard,NC,Non classé
Azerables,23015,212301501,AUMAITRE Yves,NC,Non classé
Banize,23016,212301600,ESCOUBEYROU Luc,NC,Non classé
Basville,23017,212301709,FERRIER Daniel,NC,Non classé
Bazelat,23018,212301808,PIARRAUD Patrice,NC,Non classé
Beissat,23019,212301907,LOURADOUR Pierrick,NC,Non classé
Bellegarde-En-Marche,23020,212302004,BONNAUD Jean-Pierre,NC,Non classé
Bénévent-L'Abbaye,23021,212302103,MAVIGNER André,NC,Non classé
Bétête,23022,212302202,DELCUZE Martial,NC,Non classé
Blaudeix,23023,212302301,BUNLON Marie-Christine,NC,Non classé
Blessac,23024,212302400,TOURADE Alexis,NC,Non classé
Bonnat,23025,212302509,CHAVANT Philippe,LNC,Non classé
Bord-Saint-Georges,23026,212302608,ALANORE Jean-Baptiste,NC,Non classé
Bosmoreau-Les-Mines,23027,212302707,BOUEYRE Daniel,NC,Non classé
Bosroger,23028,212302806,JOULOT Jean-Paul,NC,Non classé
Le Bourg-D'Hem,23029,212302905,DESCHAMPS Robert,NC,Non classé
Bourganeuf,23030,212303002,RIGAUD Régis,LNC,Non classé
Boussac,23031,212303101,FOULON Franck,LNC,Non classé
Boussac-Bourg,23032,212303200,GRIMAUD Hervé,NC,Non classé
La Brionne,23033,212303309,LEFEVRE Bernard,NC,Non classé
Brousse,23034,212303408,SIMONET Brice,NC,Non classé
Budelière,23035,212303507,COUTURIER Lionel,NC,Non classé
Bussière-Dunoise,23036,212303606,LAVAUD Christophe,LNC,Non classé
Bussière-Nouvelle,23037,212303705,AUGENDRE Dominique,NC,Non classé
Bussière-Saint-Georges,23038,212303804,THOMAZON Gérard,NC,Non classé
La Celle-Dunoise,23039,212303903,BOQUET Jacques-André,NC,Non classé
La Celle-Sous-Gouzon,23040,212304000,JOUANNETON Michaël,NC,Non classé
La Cellette,23041,212304109,CARCAT Camille,NC,Non classé
Ceyroux,23042,212304208,DAGUET Ludovic,NC,Non classé
Chamberaud,23043,212304307,MAGOUTIER Gérard,NC,Non classé
Chambon-Sainte-Croix,23044,212304406,TIXIER Patrick,NC,Non classé
Chambon-Sur-Voueize,23045,212304505,CREUZON Cécile,NC,Non classé
Chambonchard,23046,212304604,TOURAND Bernard,NC,Non classé
Chamborand,23047,212304703,LEBON Jean-François,NC,Non classé
Champagnat,23048,212304802,ECHEVARNE Christian,NC,Non classé
Champsanglard,23049,212304901,DUQUEROIX Sylvain,NC,Non classé
La Chapelle-Baloue,23050,212305007,GOMES Béatrice,NC,Non classé
La Chapelle-Saint-Martial,23051,212305106,COLON Isabelle,NC,Non classé
La Chapelle-Taillefert,23052,212305205,DUBOSCLARD Thierry-Jean Pierre,NC,Non classé
Chard,23053,212305304,PERRIER Serge,NC,Non classé
Charron,23054,212305403,BOUCHET Emilie,NC,Non classé
Châtelard,23055,212305502,COTENTIN NÉE LEBOUR Muriel,NC,Non classé
Châtelus-Le-Marcheix,23056,212305601,RIOT Philippe,NC,Non classé
Châtelus-Malvaleix,23057,212305700,BOUCHET Jean-François,NC,Non classé
Le Chauchet,23058,212305809,MONTEIL Philippe,NC,Non classé
La Chaussade,23059,212305908,VIRGOULAY Gina,NC,Non classé
Chavanat,23060,212306005,VALLAEYS Gaël,NC,Non classé
Chénérailles,23061,212306104,VERDIER Alexandre,NC,Non classé
Chéniers,23062,212306203,GAUDON Gilles,NC,Non classé
Clairavaux,23063,212306302,BOYER Laurence,NC,Non classé
Clugnat,23064,212306401,THOMAZON Yves,NC,Non classé
Colondannes,23065,212306500,PARBAUD François,NC,Non classé
Le Compas,23066,212306609,PAYARD Christian,NC,Non classé
La Courtine,23067,212306708,MICHELON Jean-Marc,NC,Non classé
Cressat,23068,212306807,CHAMBERAUD Josiane,NC,Non classé
Crocq,23069,212306906,PIERRON Jean-Luc,NC,Non classé
Crozant,23070,212307003,LAVAUD Didier,NC,Non classé
Croze,23071,212307102,TERNAT Didier,NC,Non classé
Domeyrot,23072,212307201,BEUZE Daniel,NC,Non classé
Dontreix,23073,212307300,RICHIN Denis,NC,Non classé
Le Donzeil,23074,212307409,CLOCHON Bruno,NC,Non classé
Dun-Le-Palestel,23075,212307508,DAULNY Laurent,LNC,Non classé
Evaux-Les-Bains,23076,212307607,PAPINEAU Bruno,LNC,Non classé
Faux-La-Montagne,23077,212307706,MOULIN Catherine,NC,Non classé
Faux-Mazuras,23078,212307805,LEGROS Jean-Bernard,NC,Non classé
Felletin,23079,212307904,CAGNON Olivier,,
Féniers,23080,212308001,PEYRAT Nathalie,NC,Non classé
Flayat,23081,212308100,MOUNAUD Patrick,NC,Non classé
Fleurat,23082,212308209,RINGUET Michel,NC,Non classé
Fontanières,23083,212308308,NOVAIS Manuel,NC,Non classé
La Forêt-Du-Temple,23084,212308407,MOULIN Eveline,NC,Non classé
Fransèches,23086,212308605,DELPRATO Daniel,NC,Non classé
Fresselines,23087,212308704,DUGENEST Jean-Claude,NC,Non classé
Gartempe,23088,212308803,PASTY Michel,NC,Non classé
Genouillac,23089,212308902,AUROUSSEAU Jean-Claude,NC,Non classé
Gentioux-Pigerolles,23090,212309009,SIMONS Benjamin,NC,Non classé
Gioux,23091,212309108,BONIFAS Marina,NC,Non classé
Glénic,23092,212309207,DALOT Marie-France,NC,Non classé
Gouzon,23093,212309306,VICTOR Cyril,LNC,Non classé
Le Grand-Bourg,23095,212309504,CHATIGNOUX Francky,LNC,Non classé
Guéret,23096,212309603,FOURNIER Marie-Françoise,LDIV,Courants politiques divers
Issoudun-Létrieix,23097,212309702,CONCHON Jean-Claude,NC,Non classé
Jalesches,23098,212309801,HUMBERT Isabelle,NC,Non classé
Janaillat,23099,212309900,DUBREUIL Raymond,NC,Non classé
Jarnages,23100,212310007,TURPINAT Vincent,NC,Non classé
Jouillat,23101,212310106,LECRIVAIN Jean-Pierre,NC,Non classé
Ladapeyre,23102,212310205,BUNLON Dominique,NC,Non classé
Lafat,23103,212310304,GLÉNISSON Marie-Claude,NC,Non classé
Lavaufranche,23104,212310403,ORSAL Patrice,NC,Non classé
Lavaveix-Les-Mines,23105,212310510,FAUCONNET Jean-Louis,NC,Non classé
Lépaud,23106,212310601,MORLON Pierre,NC,Non classé
Lépinas,23107,212310700,PARAYRE Régis,NC,Non classé
Leyrat,23108,212310809,BONNAUD Jacques,NC,Non classé
Linard-Malval,23109,200082972,POIRIER Michel,NC,Non classé
Lioux-Les-Monges,23110,212311005,PAYARD Jacques,NC,Non classé
Lizières,23111,212311104,CHETIF Evelyne,NC,Non classé
Lourdoueix-Saint-Pierre,23112,212311203,LANGLOIS Roger,NC,Non classé
Lupersat,23113,212311302,SOULEBOT Jean-Michel,NC,Non classé
Lussat,23114,212311401,MALLERET Daniel,NC,Non classé
Magnat-L'Etrange,23115,212311500,BRUGERE Jérémy,NC,Non classé
Mainsat,23116,212311609,SCHMIDT David,NC,Non classé
Maison-Feyne,23117,212311708,CHAVEGRAND Jean-Claude,NC,Non classé
Maisonnisses,23118,212311807,BERTELOOT Dominique,NC,Non classé
Malleret,23119,212311906,LACROCQ Michel,NC,Non classé
Malleret-Boussac,23120,212312003,LASAREFF Wladimir,NC,Non classé
Mansat-La-Courrière,23122,212312201,DUGAY Jean-Pierre,NC,Non classé
Les Mars,23123,212312300,MAZET Michel,NC,Non classé
Marsac,23124,212312409,DUMAS Daniel,NC,Non classé
Le Mas-D'Artige,23125,212312508,MAGRIT Gilles,NC,Non classé
Mautes,23127,212312706,PLAS Yolande,NC,Non classé
La Mazière-Aux-Bonshommes,23129,212312904,PERRIER Frédéric,NC,Non classé
Méasnes,23130,212313001,LAMONTAGNE Marc,NC,Non classé
Mérinchal,23131,212313100,VENTENAT Marie-Françoise,NC,Non classé
Montaigut-Le-Blanc,23132,212313209,CHATENET Ludivine,NC,Non classé
Montboucher,23133,212313308,FERRAND Marc,NC,Non classé
Le Monteil-Au-Vicomte,23134,212313407,MEYER Christian,NC,Non classé
Mortroux,23136,212313605,MARSALEIX Guy,NC,Non classé
Mourioux-Vieilleville,23137,212313704,MONDON Thierry,NC,Non classé
Moutier-D'Ahun,23138,212313803,CATHELOT Guy,,
Moutier-Malcard,23139,212313902,GUYOT Pierre,NC,Non classé
Moutier-Rozeille,23140,212314009,BURJADE Jean-Paul,NC,Non classé
Naillat,23141,212314108,TARDY Laurent,NC,Non classé
Néoux,23142,212314207,MERIGOT Pascal,NC,Non classé
Noth,23143,212314306,GAZONNAUD Jean-Luc,NC,Non classé
La Nouaille,23144,212314405,RAVET Nadine,NC,Non classé
Nouhant,23145,212314504,SIMONNET Nicolas,NC,Non classé
Nouzerines,23146,212314603,ROGET Valerie,NC,Non classé
Nouzerolles,23147,212314702,LAURENT Jean-Pierre,NC,Non classé
Nouziers,23148,212314801,APPERE Roger,NC,Non classé
Parsac-Rimondeix,23149,200053502,RIVA François,NC,Non classé
Peyrabout,23150,212315006,BRIGNOLI Jean-Paul,NC,Non classé
Peyrat-La-Nonière,23151,212315105,LUQUET Alain,NC,Non classé
Pierrefitte,23152,212315204,CHARDIN Marie-Hélène,NC,Non classé
Pionnat,23154,212315402,PIOLÉ Laurent,NC,Non classé
Pontarion,23155,212315501,MOREAU Jean-Claude,NC,Non classé
Pontcharraud,23156,212315600,D'HULSTER Eric,NC,Non classé
La Pouge,23157,212315741,BUSSIERE Jean-Claude,NC,Non classé
Poussanges,23158,212315808,BUJON Marc,NC,Non classé
Puy-Malsignat,23159,212315907,BERGER Félix,NC,Non classé
Reterre,23160,212316004,MEANARD Bernadette,NC,Non classé
Roches,23162,212316202,THEVENET Didier,NC,Non classé
Rougnat,23164,212316400,DESARMENIEN Pierre,NC,Non classé
Royère-De-Vassivière,23165,212316509,RABETEAU Raymond,NC,Non classé
Sagnat,23166,212316608,BRIGAND Philippe,NC,Non classé
Sannat,23167,212316707,GRANGE David,NC,Non classé
Sardent,23168,212316806,GAILLARD Thierry,NC,Non classé
La Saunière,23169,212316905,ZAPATA Annie,NC,Non classé
Savennes,23170,212317002,PONSARD Philippe,NC,Non classé
Sermur,23171,212317101,FAUCHER Pierre,NC,Non classé
La Serre-Bussière-Vieille,23172,212317200,GIRAUD-LAJOIE Denise,NC,Non classé
Soubrebost,23173,212317309,PATAUD Annick,NC,Non classé
Soumans,23174,212317408,PARNIERE Jean-Claude,NC,Non classé
Sous-Parsat,23175,212317507,RICARD Jean-Michel,NC,Non classé
La Souterraine,23176,212317606,LEJEUNE Étienne,,
Saint-Agnant-De-Versillat,23177,212317705,DECOURSIER Pierre,LNC,Non classé
Saint-Agnant-Près-Crocq,23178,212317804,WELZER Jean-Paul,NC,Non classé
Saint-Alpinien,23179,212317903,CHABANT Evelyne,NC,Non classé
Saint-Amand,23180,212318000,CHEVREUX Laurence,NC,Non classé
Saint-Amand-Jartoudeix,23181,212318109,PAROT Jean-Pierre,NC,Non classé
Saint-Avit-De-Tardes,23182,212318208,LEGROS Pierrette,NC,Non classé
Saint-Avit-Le-Pauvre,23183,212318307,DEPATUREAUX Gilles,NC,Non classé
Saint-Bard,23184,212318406,CHEFDEVILLE Sébastien,NC,Non classé
Saint-Chabrais,23185,212318505,MORANÇAIS Patrice,,
Saint-Christophe,23186,212318604,VELGHE Jacques,NC,Non classé
Saint-Dizier-La-Tour,23187,212318703,CORDIER Jacques,NC,Non classé
Saint-Dizier-Les-Domaines,23188,212318802,DUMAS Camille,NC,Non classé
Saint-Dizier-Masbaraud,23189,200085314,ROYERE Joël,LNC,Non classé
Saint-Domet,23190,212319008,PINLON Catherine,NC,Non classé
Saint-Eloi,23191,212319107,BOIRON Célia,NC,Non classé
Fursac,23192,200065480,MOUVEROUX Olivier,LNC,Non classé
Sainte-Feyre,23193,212319305,RÉJAUD Franck,LNC,Non classé
Sainte-Feyre-La-Montagne,23194,212319404,BIALOUX Claude,NC,Non classé
Saint-Fiel,23195,212319503,BARNAUD François,LNC,Non classé
Saint-Frion,23196,212319602,ARNAUD Christian,NC,Non classé
Saint-Georges-La-Pouge,23197,212319701,POITOU Delphine,,
Saint-Georges-Nigremont,23198,212319800,ROULLAND René,NC,Non classé
Saint-Germain-Beaupré,23199,212319909,BARAT Geneviève,NC,Non classé
Saint-Goussaud,23200,212320006,SIMON Sophie,NC,Non classé
Saint-Hilaire-La-Plaine,23201,212320105,LAINE Joël,NC,Non classé
Saint-Hilaire-Le-Château,23202,212320204,GRENOUILLET Jean-Yves,NC,Non classé
Saint-Julien-La-Genête,23203,212320303,ROUGERON Joël,NC,Non classé
Saint-Julien-Le-Châtel,23204,212320402,ROBY Catherine,NC,Non classé
Saint-Junien-La-Bregère,23205,212320501,CALOMINE Alain,NC,Non classé
Saint-Laurent,23206,212320600,CLEDIERE Alain,NC,Non classé
Saint-Léger-Bridereix,23207,212320709,MALFAISAN Frédéric,NC,Non classé
Saint-Léger-Le-Guérétois,23208,212320808,ROUGEOT Patrick,NC,Non classé
Saint-Loup,23209,212320907,BRIDOUX Anne,NC,Non classé
Saint-Maixant,23210,212321004,PINLON Evelyne,NC,Non classé
Saint-Marc-À-Frongier,23211,212321103,JOSLIN Jean-Louis,NC,Non classé
Saint-Marc-À-Loubaud,23212,212321202,FOUGERON Roger,NC,Non classé
Saint-Marien,23213,212321301,BRIAULT Thierry,NC,Non classé
Saint-Martial-Le-Mont,23214,212321400,LAGRANGE Serge,NC,Non classé
Saint-Martial-Le-Vieux,23215,212321509,SIVADE Alain,NC,Non classé
Saint-Martin-Château,23216,212321608,DERIEUX Nicolas,NC,Non classé
Saint-Martin-Sainte-Catherine,23217,212321707,PAMIES Jean-Michel,NC,Non classé
Saint-Maurice-Près-Crocq,23218,212321806,BRUNET Maryline,NC,Non classé
Saint-Maurice-La-Souterraine,23219,212321905,AUGROS Evelyne,LNC,Non classé
Saint-Médard-La-Rochette,23220,212322002,TRIMOULINARD Hervé,NC,Non classé
Saint-Merd-La-Breuille,23221,212322101,FAUGERON Guy,NC,Non classé
Saint-Michel-De-Veisse,23222,212322200,DEFEMME Catherine,NC,Non classé
Saint-Moreil,23223,212322309,LEHERICY Joseph,NC,Non classé
Saint-Oradoux-De-Chirouze,23224,212322408,GRANET Henri,NC,Non classé
Saint-Oradoux-Près-Crocq,23225,212322507,BREUIL Elodie,NC,Non classé
Saint-Pardoux-D'Arnet,23226,212322606,GUYONNET Gerard,NC,Non classé
Saint-Pardoux-Morterolles,23227,212322705,PATAUD Patrice,NC,Non classé
Saint-Pardoux-Le-Neuf,23228,212322804,AUMEUNIER Gérard,NC,Non classé
Saint-Pardoux-Les-Cards,23229,212322903,GLOMOT Laurent,NC,Non classé
Saint-Pierre-Chérignat,23230,212323000,GAUDY Sylvain,NC,Non classé
Saint-Pierre-Bellevue,23232,212323208,NOURRISSEAU Pierre-Marie,NC,Non classé
Saint-Pierre-Le-Bost,23233,212323307,BUCHET Coralie,NC,Non classé
Saint-Priest,23234,212323406,DUBSAY Jean-Claude,NC,Non classé
Saint-Priest-La-Feuille,23235,212323505,VIGROUX AUFORT Josiane,NC,Non classé
Saint-Priest-La-Plaine,23236,212323604,CHAPUT Jean-Paul,NC,Non classé
Saint-Priest-Palus,23237,212323703,TROUSSET Patrick,NC,Non classé
Saint-Quentin-La-Chabanne,23238,212323802,PRIOURET Denis,NC,Non classé
Saint-Sébastien,23239,212323901,ROUSSILLAT AUDOUX Patricia,NC,Non classé
Saint-Silvain-Bas-Le-Roc,23240,212324008,FRANCHAISSE Patrick,NC,Non classé
Saint-Silvain-Bellegarde,23241,212324107,BUJADOUX Alain,NC,Non classé
Saint-Silvain-Montaigut,23242,212324206,ELIE Michèle,NC,Non classé
Saint-Silvain-Sous-Toulx,23243,212324305,DESFORGES Isabelle,NC,Non classé
Saint-Sulpice-Le-Dunois,23244,212324404,DARDAILLON Bruno,NC,Non classé
Saint-Sulpice-Le-Guérétois,23245,212324503,BODEAU Eric,LNC,Non classé
Saint-Sulpice-Les-Champs,23246,212324602,DEPEIGE Monique,,
Saint-Vaury,23247,212324701,BAYOL Philippe,LNC,Non classé
Saint-Victor-En-Marche,23248,212324800,BIDAN Xavier,NC,Non classé
Saint-Yrieix-La-Montagne,23249,212324909,MIOMANDRE Didier,NC,Non classé
Saint-Yrieix-Les-Bois,23250,212325005,AUCOUTURIER Alex,NC,Non classé
Tardes,23251,212325104,DERBOULE Régis,NC,Non classé
Tercillat,23252,212325203,AUSSANAIRE PILLIOT Béatrice,NC,Non classé
Thauron,23253,212325302,CAILLAUD Monique,NC,Non classé
Toulx-Sainte-Croix,23254,212325401,JULLIARD Christian,NC,Non classé
Trois-Fonds,23255,212325500,DUMOND Madeleine,NC,Non classé
Vallière,23257,212325708,BERTIN Valérie,NC,Non classé
Vareilles,23258,212325807,MATIGOT Jean Roland,NC,Non classé
Verneiges,23259,212325906,ZANETTA Mathieu,NC,Non classé
Vidaillat,23260,212326003,LAPORTE Martine,NC,Non classé
Viersat,23261,212326102,GLOMEAUD Nadine,NC,Non classé
Vigeville,23262,212326201,MASSICARD Laëtitia,,
Villard,23263,212326300,FOREST Daniel,NC,Non classé
La Villedieu,23264,212326409,LETELLIER Thierry,NC,Non classé
La Villeneuve,23265,212326508,BOUDINEAU Thierry,NC,Non classé
La Villetelle,23266,212326607,BOEUF Jacques,NC,Non classé
Abjat-Sur-Bandiat,24001,212400014,CHATEAU Fabrice,NC,Non classé
Agonac,24002,212400022,DRUILLOLE Christelle,,
Ajat,24004,212400048,CLERJOUX Didier,NC,Non classé
Alles-Sur-Dordogne,24005,212400055,ROQUE Sylvie,NC,Non classé
Allas-Les-Mines,24006,212400063,LARAVOIRE Jean-François,NC,Non classé
Allemans,24007,212400071,TRICOIRE Allain,NC,Non classé
Angoisse,24008,212400089,GADAUD Joël,NC,Non classé
Anlhiac,24009,212400097,FAURE Philippe,NC,Non classé
Annesse-Et-Beaulieu,24010,212400105,PERPEROT Philippe,LNC,Non classé
Antonne-Et-Trigonant,24011,212400113,LE MAO Daniel,LNC,Non classé
Archignac,24012,212400121,LAPORTE Alain,NC,Non classé
Aubas,24014,212400147,DUPUY Valène,NC,Non classé
Audrix,24015,212400154,THUILLIER Claude,NC,Non classé
Augignac,24016,212400162,BAZINET Bernard,NC,Non classé
Auriac-Du-Périgord,24018,212400188,DURUY Dominique,NC,Non classé
Azerat,24019,212400196,LEVISKI Josiane,NC,Non classé
La Bachellerie,24020,212400204,MOULINIER Roland,NC,Non classé
Badefols-D'Ans,24021,212400212,GRANDCHAMP Sylviane,NC,Non classé
Badefols-Sur-Dordogne,24022,212400220,SLAGHUIS Martin,NC,Non classé
Baneuil,24023,212400238,DEGUILHEM Thierry Joel,,
Bardou,24024,212400246,ROUSSELY Jean-Paul,NC,Non classé
Bars,24025,212400253,CAGNIART Bertrand,NC,Non classé
Bassillac Et Auberoche,24026,200065159,BEYLOT Michel,LDVC,Centre
Bayac,24027,212400279,CAROT Annick,NC,Non classé
Beaupouyet,24029,212400295,GROSS Jean-Luc,NC,Non classé
Beauregard-De-Terrasson,24030,212400303,ARMAGHANIAN Lionel,NC,Non classé
Beauregard-Et-Bassac,24031,212400311,BOYER Flore,NC,Non classé
Beauronne,24032,212400329,VILLESUZANNE Daniel,NC,Non classé
Beleymas,24034,212400345,RUIZ Joseph,NC,Non classé
Pays De Belvès,24035,200059731,LEOTHIER Christian,LNC,Non classé
Berbiguières,24036,212400360,LOMBART Yves,NC,Non classé
Bergerac,24037,212400378,PRIOLEAUD Jonathan,LDVD,Droite
Bertric-Burée,24038,212400386,PRIGUL Jean-Pierre,NC,Non classé
Besse,24039,212400394,MALVY Francis,NC,Non classé
Beynac-Et-Cazenac,24040,212400402,PARRE Serge,NC,Non classé
Biras,24042,212400428,NADAL Jean-Michel,NC,Non classé
Biron,24043,212400436,DESMAISON Bruno,NC,Non classé
Boisse,24045,212400451,MOLLE Stéphanie,NC,Non classé
Boisseuilh,24046,212400469,MERCIER Gérard,NC,Non classé
Bonneville-Et-Saint-Avit-De-Fumadières,24048,212400485,FOURCAUD Serge,NC,Non classé
Borrèze,24050,212400501,CHASSAING Thierry,NC,Non classé
Bosset,24051,212400519,GOUZE Didier,NC,Non classé
Bouillac,24052,212400527,DELFOUR Paul-Mary,NC,Non classé
Boulazac Isle Manoire,24053,200065357,AUZOU Jacques,LDVG,Gauche
Bouniagues,24054,212400543,BASSI Georges,NC,Non classé
Bourdeilles,24055,212400550,DUSSUTOUR Nicolas,NC,Non classé
Le Bourdeix,24056,212400568,CHABROL Maurice,NC,Non classé
Bourg-Des-Maisons,24057,212400576,BAZINET Bernadette,NC,Non classé
Bourg-Du-Bost,24058,212400584,LAVILLE Janick,NC,Non classé
Bourgnac,24059,212400592,AYMARD Robert,NC,Non classé
Bourniquel,24060,212400600,FLEURY Raymond,NC,Non classé
Bourrou,24061,212400618,KERGOAT Marie-Claude,NC,Non classé
Bouteilles-Saint-Sébastien,24062,212400626,BERTHÉ Christine,NC,Non classé
Brantôme En Périgord,24064,200084127,RATINAUD Monique Genevière Marie,,
Brouchaud,24066,212400667,POURCEL Christel,NC,Non classé
Le Bugue,24067,212400675,LEONIDAS Serge,LNC,Non classé
Le Buisson-De-Cadouin,24068,212400683,MARSAT Marie Lise,,
Bussac,24069,212400691,MERLE Bernard,NC,Non classé
Busserolles,24070,212400709,ANDRIEUX Nathalie,NC,Non classé
Bussière-Badil,24071,212400717,LAVALLADE Jean-Jacques,,
Calès,24073,212400733,CATHUS Christophe,NC,Non classé
Calviac-En-Périgord,24074,212400741,SÉGALAT Jean-Paul,NC,Non classé
Campagnac-Lès-Quercy,24075,212400758,MAURY Daniel,NC,Non classé
Campagne,24076,212400766,PERARO Thierry,NC,Non classé
Campsegret,24077,212400774,GELLÉ Jean-Marie,NC,Non classé
Capdrot,24080,212400808,PAPON Ludovic,NC,Non classé
Carsac-Aillac,24082,212400824,BONNEFON Patrick,LNC,Non classé
Carsac-De-Gurson,24083,212400832,MAHIEU Jean-Pierre,NC,Non classé
Carves,24084,212400840,CHAUMEL Maryvonne,NC,Non classé
La Cassagne,24085,212400857,LUNEAU Sébastien,NC,Non classé
Castelnaud-La-Chapelle,24086,212400865,DEJEAN Daniel,NC,Non classé
Castels Et Bézenac,24087,200065142,BOUCHARD Henri,NC,Non classé
Cause-De-Clérans,24088,212400881,MONTI Bruno,NC,Non classé
Celles,24090,212400907,ANDRIEUX Jean-Didier,NC,Non classé
Cénac-Et-Saint-Julien,24091,212400915,DEBET DUVERNEIX Joëlle,LNC,Non classé
Chalagnac,24094,212400949,CHANSARD Dominique,NC,Non classé
Chalais,24095,212400956,FAYE Jean-Louis,NC,Non classé
Champagnac-De-Belair,24096,212400964,LACOSTE Gérard,NC,Non classé
Champagne-Et-Fontaine,24097,212400972,DEVARS Pascal,NC,Non classé
Champcevinel,24098,212400980,LECOMTE Christian,LNC,Non classé
Champniers-Et-Reilhac,24100,212401004,VEDRENNE Daniel,NC,Non classé
Champs-Romain,24101,212401012,VIROULET Serge,NC,Non classé
